FID,FID_1,city,holc_grade,holc_id,name,geometry_k,uf_unique_,Shape__Are,Shape__Len,Shape__Area,Shape__Length
56,56,Los Angeles,B,B66, ,a91523b3da05e58c,7168,9.81E-05,0.041950228,1467758.211,5316.557622
57,57,Los Angeles,B,B119, ,2f05073e8ee20de2,7085,0.00015863,0.080217357,2368266.898,9696.154501
58,58,Los Angeles,B,B104, ,b2d8626ef7b0f5e8,7316,0.000124688,0.069179004,1863873.109,8624.781607
59,59,Los Angeles,C,C20, ,eb9ab80d43ce5a5a,7178,0.000425821,0.134556339,6374816.523,16101.1464
60,60,Los Angeles,C,C150, ,8baab8b2565c0030,428,3.67E-05,0.02737546,547594.707,3261.299219
61,61,Los Angeles,B,B112, ,3500f2ff2e779bd2,886,0.000143927,0.049958296,2149747.805,6285.530253
62,62,Los Angeles,B,B33, ,e0535e27ff609129,7334,0.00013255,0.124788243,1984521.047,14351.20058
63,63,Los Angeles,C,C154, ,c22dd3e2380a6076,7083,0.000109519,0.043820734,1633391.453,5443.286083
64,64,Los Angeles,B,B38, ,6f7e82f3f1934ea2,7356,7.14E-05,0.048810427,1068561.332,5605.367048
65,65,Los Angeles,C,C35, ,a2d4fcb3072a8dfd,7176,0.00012001,0.074791911,1796061.082,9291.645799
66,66,Los Angeles,B,B34, ,9a38e688a1cc94,7344,0.000152222,0.07265138,2278730.48,8824.616102
67,67,Los Angeles,D,D32, ,e760c2aa16fc0411,7186,0.00029667,0.140833449,4439479.344,17355.27058
68,68,Los Angeles,C,C93, ,44e5a42e62a85a72,24,0.000167969,0.060715557,2512710.941,7328.423948
69,69,Los Angeles,B,B111, ,4d9d89eca60f9e72,435,0.000354755,0.083941205,5299638.152,9896.732685
70,70,Los Angeles,B,B89, ,1d38cb7fb9db379e,7162,0.00017282,0.060951684,2585420.781,7304.796512
71,71,Los Angeles,B,B105, ,7ffe0e7c7c227923,7384,0.0001182,0.049257806,1766715.336,5891.475159
72,72,Los Angeles,B,B113, ,93cb054d5d6fa51a,429,6.25E-05,0.043877208,932416.668,5539.703183
73,73,Los Angeles,C,C87, ,57a7ae55c2dc718a,7167,0.000113836,0.059104115,1703027.238,7557.208947
74,74,Los Angeles,B,B108, ,4a9265cabd9e4583,7386,2.60E-05,0.030607943,387688.1563,3834.955967
75,75,Los Angeles,D,D9, ,7a4ab7daf4d2e63,7174,7.22E-05,0.06708102,1081080.262,8595.44085
76,76,Los Angeles,D,D53, ,d17f4b47203b734,7160,0.001418354,0.235702414,21210592.31,29258.44082
77,77,Los Angeles,C,C43, ,e39f5aa392d01fe8,7326,0.000137868,0.068542566,2064146.641,8420.620696
78,78,Los Angeles,D,D66, ,b7d894467d78162f,7076,0.000234815,0.084348674,3505018.168,10235.21126
79,79,Los Angeles,D,D61, ,6676d2256c5d467d,7121,0.000479029,0.2129795,7155106.969,25967.02896
80,80,Los Angeles,B,B37, ,5a6bc8e72fb39dd5,7377,7.76E-05,0.043939762,1160765.016,5232.848658
81,81,Los Angeles,D,D68, ,695216d567d6f3a5,7073,5.53E-05,0.035044695,824542.3906,4084.057253
82,82,Los Angeles,A,A10, ,405f031908812f07,7322,0.000181415,0.0694424,2717372.203,8749.70465
83,83,Los Angeles,A,A59, ,cf97ef1865330ab7,7089,0.00142516,0.291940525,21250448.96,34904.78746
84,84,Los Angeles,C,C116, ,ad5b608f34d60aa4,7100,0.000167778,0.071137551,2509132.629,8476.954943
85,85,Los Angeles,A,A20, ,c0fc796871c9b670,7325,8.62E-05,0.040048649,1290071.77,4756.052602
86,86,Los Angeles,A,A22, ,643c554dc14bade1,445,4.37E-05,0.027094995,654968.2148,3262.074785
87,87,Los Angeles,A,A18, ,a4e3ec79a0e95c37,7355,0.000236073,0.089409135,3533320.098,10652.2263
88,88,Los Angeles,C,C103, ,b9b1e605c8d5d2a6,7105,0.000125331,0.065048326,1872877.977,7597.445766
89,89,Los Angeles,C,C70, ,6c63b99fde0971c7,7211,8.22E-05,0.065997003,1229405.973,8087.11199
90,90,Los Angeles,A,A53, ,5fdbbf7b00b7747d,887,4.54E-05,0.030739349,679304.707,3635.81171
91,91,Los Angeles,A,A7, ,dd0027e38128464f,7319,0.000134145,0.096430571,2008557.875,11148.18228
92,92,Los Angeles,B,B79, ,45848f955f9933d9,7111,0.000112997,0.051151053,1688910.512,6288.515152
